AVATAR_COLOR,BILLING_ACCOUNT_ID,CREATED_AT,EMAIL,FIRST_NAME,ID,INVITED_BY,IS_DEMO_BOOKED,IS_INVITE_FLOW,IS_MIC_AVAILABLE,LAST_NAME,MARKETING_COMMUNICATION,MOBILE,ROLE,SIGNUP_TYPE,STATUS,STEPS,TERMS_AND_CONDITION,TRAINING_PERMISSION_VIDEO,UID,UPDATED_AT,UUID,_SDC_BATCHED_AT,_SDC_RECEIVED_AT,_SDC_SEQUENCE,_SDC_TABLE_VERSION
#AC1718,"100,783","September 6, 2025, 5:49 AM",nedy.byzowe@zenith.net,Nedy,102399,,FALSE,FALSE,FALSE,Byzowe,TRUE,,developer,email,ready,,TRUE,,rAnbDr32SjO3iwn5kkZ2kSzDN523,"September 6, 2025, 5:49 AM",746e00a8-1448-45a7-8e4b-46583108ccba,"September 6, 2025, 6:31 AM","September 6, 2025, 6:21 AM","1,757,164,869,746,560,000","1,756,344,068,653"
#681DD9,"100,707","September 5, 2025, 2:25 PM",wawu.sejahi@outlook.com,Wawu,102323,,FALSE,FALSE,FALSE,Sejahi,TRUE,,developer,email,ready,,TRUE,,2wXAW0MRYuP5jFWlsUgvOPPNPfT2,"September 5, 2025, 2:25 PM",08719b76-e7ca-45a3-ae4f-775b37701b30,"September 5, 2025, 3:32 PM","September 5, 2025, 3:21 PM","1,757,110,869,940,820,000","1,756,344,068,653"
#53C879,"100,653","September 5, 2025, 8:35 AM",wyzy.wawu@gmail.com,Wyzy,102269,,FALSE,FALSE,FALSE,Wawu,TRUE,,developer,email,ready,,TRUE,,MriKuPIXCuZM8ILNJhkJZxjCNHw2,"September 5, 2025, 8:35 AM",0fedbabc-1cc5-4d84-8bdf-1c22f1d1bb0c,"September 5, 2025, 9:27 AM","September 5, 2025, 9:21 AM","1,757,089,270,012,710,000","1,756,344,068,653"
#E4C9B1,"100,623","September 5, 2025, 5:48 AM",zyry.dawino@gmail.com,Zyry,102239,,FALSE,FALSE,FALSE,Dawino,TRUE,,developer,email,ready,,TRUE,,yHzy9iKfFrhXaOe7wxRIYTvbRrs2,"September 5, 2025, 5:48 AM",f1db1ca2-6449-468b-bc5a-ab7cadb1d645,"September 5, 2025, 6:31 AM","September 5, 2025, 6:21 AM","1,757,078,469,746,240,000","1,756,344,068,653"
#1D3B16,"100,617","September 5, 2025, 5:10 AM",xurosa.boge@oscorpventures.io,Xurosa,102233,,FALSE,FALSE,FALSE,Boge,TRUE,,developer,email,ready,,TRUE,,syqLMHxX5hcXmAr90pvg1jmPt8Q2,"September 5, 2025, 5:10 AM",2d8c72c8-e823-4165-9500-fbffc1f58add,"September 5, 2025, 5:29 AM","September 5, 2025, 5:21 AM","1,757,074,871,523,580,000","1,756,344,068,653"
#3E8B72,"100,586","September 5, 2025, 12:49 AM",wadi.pijy@gmail.com,Wadi,102202,,FALSE,FALSE,FALSE,Pijy,TRUE,,developer,google,ready,,TRUE,,Z6AdsvIwDRaOaUimzInYWa3JH0s1,"September 5, 2025, 12:49 AM",f7b52192-ae2d-4120-ad2c-d88882043216,"September 5, 2025, 1:23 AM","September 5, 2025, 1:21 AM","1,757,060,468,859,140,000","1,756,344,068,653"
#2891C7,"100,550","September 4, 2025, 8:03 PM",kuwojy.inyu@gmail.com,Kuwojy,102166,,FALSE,FALSE,FALSE,Inyu,TRUE,,developer,google,ready,,TRUE,,jUHMEoXGGPTH22qm1D1p2DEvhal2,"September 4, 2025, 8:03 PM",35d5e2c1-050b-41eb-acbd-56d0159e486b,"September 4, 2025, 8:27 PM","September 4, 2025, 8:21 PM","1,757,042,470,719,850,000","1,756,344,068,653"
#4C1476,"100,547","September 4, 2025, 7:39 PM",fylo.fovafu@gmail.com,Fylo,102163,,FALSE,FALSE,FALSE,Fovafu,TRUE,,developer,google,ready,,TRUE,,Qo7VhbAP87VSH40xZvEu9UwCp4P2,"September 4, 2025, 7:39 PM",fa968a74-29ee-4a13-85da-f7ccb3335b89,"September 4, 2025, 8:27 PM","September 4, 2025, 8:21 PM","1,757,042,470,719,790,000","1,756,344,068,653"
#CE3A88,"100,480","September 4, 2025, 10:11 AM",gewe.rimi@vectorsolutions.dev,Gewe,102096,,FALSE,FALSE,FALSE,Rimi,TRUE,,developer,google,ready,,TRUE,,fKRI4uqi3aOJ3tUmtWJJhwdVFeB2,"September 4, 2025, 10:11 AM",5723b523-dfa5-4cf6-81ee-32cf5e4a98ba,"September 4, 2025, 10:28 AM","September 4, 2025, 10:21 AM","1,757,006,470,419,800,000","1,756,344,068,653"
#F8AF2D,"100,466","September 4, 2025, 7:46 AM",kewa.wadi@zenithgroup.tech,Kewa,102082,,FALSE,FALSE,FALSE,Wadi,TRUE,,developer,email,ready,,TRUE,,VX9BfCX6kQPl2hKY90WLnmXDSvL2,"September 4, 2025, 7:46 AM",51f691c8-f51d-48aa-90ab-1fd782e0c8ea,"September 4, 2025, 8:22 AM","September 4, 2025, 8:21 AM","1,756,999,272,300,240,000","1,756,344,068,653"
#97B1AD,"100,383","September 3, 2025, 10:11 PM",rivosa.jaca+0239023932@gmail.com,Rivosa,101999,,FALSE,FALSE,FALSE,Jaca,TRUE,,developer,email,ready,,TRUE,,QTWq54qPKiZFzUA2JIdbxUylARl2,"September 3, 2025, 10:11 PM",f68113ac-415c-4064-b577-16c444228f1e,"September 3, 2025, 10:31 PM","September 3, 2025, 10:21 PM","1,756,963,270,038,460,000","1,756,344,068,653"
#720739,"100,299","September 3, 2025, 12:45 PM",papity.rymu@gmail.com,Papity,101915,,FALSE,FALSE,FALSE,Rymu,TRUE,,developer,google,ready,,TRUE,,vELVfPIYrlSjvXDJKEUVoY0HTD53,"September 3, 2025, 12:45 PM",e9eaebbc-f655-4f33-be6e-a506f0bb49a3,"September 3, 2025, 1:24 PM","September 3, 2025, 1:21 PM","1,756,930,869,994,160,000","1,756,344,068,653"
#E7A3D8,"100,300","September 3, 2025, 12:47 PM",zona.muqexy@gmail.com,Zona,101916,,FALSE,FALSE,FALSE,Muqexy,TRUE,,developer,google,ready,,TRUE,,Clb1nkw749agCMWn8PYShGeDw2C2,"September 3, 2025, 12:47 PM",a4b8e420-36d4-47e2-8549-1788a9464bc7,"September 3, 2025, 1:24 PM","September 3, 2025, 1:21 PM","1,756,930,869,994,180,000","1,756,344,068,653"
#BBBF27,"100,274","September 3, 2025, 9:00 AM",vyxipi.vejyba@gmail.com,Vyxipi,101890,,FALSE,FALSE,FALSE,Vejyba,TRUE,,developer,email,ready,,TRUE,,GBOFe1RA9hXrhhwC3FEwsVJO06s2,"September 3, 2025, 9:00 AM",1b983fd7-b81f-42b7-9674-3035783acaaf,"September 3, 2025, 9:24 AM","September 3, 2025, 9:21 AM","1,756,916,471,240,750,000","1,756,344,068,653"
#03001E,"100,221","September 3, 2025, 3:08 AM",nypuqy.rusy@gmail.com,Nypuqy,101837,,FALSE,FALSE,FALSE,Rusy,TRUE,,developer,google,ready,,TRUE,,lQ391fLUgRXyBj7CceqIIpWHq4g2,"September 3, 2025, 3:08 AM",08b1e6ae-b66a-492d-813a-cadec1ae3535,"September 3, 2025, 3:28 AM","September 3, 2025, 3:21 AM","1,756,894,870,242,900,000","1,756,344,068,653"
#916C73,"100,215","September 3, 2025, 2:02 AM",pefy.myme@northwindgroup.dev,Pefy,101831,,FALSE,FALSE,FALSE,Myme,TRUE,,developer,email,ready,,TRUE,,pscKXcRp5reztSQgEWZmnbbcCq12,"September 3, 2025, 2:02 AM",48861703-ec4d-4515-a333-ff4a2a771e7b,"September 3, 2025, 2:28 AM","September 3, 2025, 2:21 AM","1,756,891,270,028,340,000","1,756,344,068,653"
#C7E895,"100,182","September 2, 2025, 10:02 PM",rivosa.jaca+90283032@gmail.com,Rivosa,101798,,FALSE,FALSE,FALSE,Jaca,TRUE,,developer,email,ready,,TRUE,,2KUyoglORFV4OsMEQ9PYICghPhc2,"September 2, 2025, 10:02 PM",bdc8072a-4ff7-4f11-9ad7-30dae57444ba,"September 2, 2025, 10:27 PM","September 2, 2025, 10:21 PM","1,756,876,868,931,060,000","1,756,344,068,653"
#A6FA97,"100,167","September 2, 2025, 7:29 PM",sohe.jepi@gmail.com,Sohe,101783,,FALSE,FALSE,FALSE,Jepi,TRUE,,developer,google,ready,,TRUE,,WO1kw9V0N4N0mC76lTh8x8Em7vB2,"September 2, 2025, 7:29 PM",f68d6fb4-fdf0-482d-8551-cbad32844eac,"September 2, 2025, 8:28 PM","September 2, 2025, 8:21 PM","1,756,869,669,204,390,000","1,756,344,068,653"
#39DCDB,"100,157","September 2, 2025, 5:18 PM",wymy.navu@apexonlabs.net,Wymy,101773,,FALSE,FALSE,FALSE,Navu,TRUE,,developer,email,ready,,TRUE,,d1OzuUcnvMYagw1kb6ojzaqvXi92,"September 2, 2025, 5:18 PM",0bb713a8-747e-4b40-a558-71341bafbebf,"September 2, 2025, 6:26 PM","September 2, 2025, 6:21 PM","1,756,862,470,145,650,000","1,756,344,068,653"
#78CE01,"100,130","September 2, 2025, 11:56 AM",nore.pity@tavus.io,Nore,101746,,FALSE,FALSE,FALSE,Pity,TRUE,,developer,email,ready,,TRUE,,UbnxTVftGWVeW1BYVZgyKGEvBpH3,"September 2, 2025, 11:56 AM",34224e7e-d96f-48e5-b886-22203731895f,"September 2, 2025, 12:28 PM","September 2, 2025, 12:21 PM","1,756,840,872,042,460,000","1,756,344,068,653"
#099423,"100,116","September 2, 2025, 11:03 AM",nuhywu.bobegu@piedpiperlabs.systems,Nuhywu,101732,,FALSE,FALSE,FALSE,Bobegu,TRUE,,developer,email,ready,,TRUE,,PwdbrfiXg9OZ2ZDLit8mHUIgp3a2,"September 2, 2025, 11:03 AM",b51eadcd-6ef9-420b-8f6a-66e7ef2a2ef7,"September 2, 2025, 11:24 AM","September 2, 2025, 11:21 AM","1,756,837,270,182,980,000","1,756,344,068,653"
#FD80EE,"100,098","September 2, 2025, 9:29 AM",vilewa.bumuzy@gmail.com,Vilewa,101714,,FALSE,FALSE,FALSE,Bumuzy,TRUE,,developer,google,ready,,TRUE,,lic2VuckLaV24qkMswg7S5ZJhTA2,"September 2, 2025, 9:29 AM",ba694117-e21c-416f-8151-c338f24feb5d,"September 2, 2025, 10:33 AM","September 2, 2025, 10:21 AM","1,756,833,670,614,240,000","1,756,344,068,653"
#746AA8,"100,076","September 2, 2025, 6:04 AM",fiso.dycele@gmail.com,Fiso,101692,,FALSE,FALSE,FALSE,Dycele,TRUE,,developer,google,ready,,TRUE,,TqwQiMbXxpet5devu64VwnDAELv2,"September 2, 2025, 6:04 AM",ad852c6a-5112-49d4-912b-4829150085bf,"September 2, 2025, 6:23 AM","September 2, 2025, 6:21 AM","1,756,819,270,386,990,000","1,756,344,068,653"
#F4A23E,"100,057","September 2, 2025, 3:52 AM",deka.xupy@weylandsolutions.tech,Deka,101673,,FALSE,FALSE,FALSE,Xupy,TRUE,,developer,email,ready,,TRUE,,Hw5nuIERNrhQvkrce41I7sB5Rew1,"September 2, 2025, 3:52 AM",a7e366ee-5684-45b2-bce1-fc3951bfba23,"September 2, 2025, 4:23 AM","September 2, 2025, 4:21 AM","1,756,812,071,954,460,000","1,756,344,068,653"
#A70295,"100,049","September 2, 2025, 3:12 AM",vozy.foke@gmail.com,Vozy,101665,,FALSE,FALSE,FALSE,Foke,TRUE,,developer,google,ready,,TRUE,,gcdzHkk8h5fPSJ1Zqu8xmqzvWiJ2,"September 2, 2025, 3:12 AM",0a7aa048-b1d6-458e-8eb6-081a1343cf6f,"September 2, 2025, 3:23 AM","September 2, 2025, 3:21 AM","1,756,808,471,514,890,000","1,756,344,068,653"
#03AE2A,"100,039","September 2, 2025, 1:55 AM",gicoqy.gibygu@evergreenventures.com,Gicoqy,101655,,FALSE,FALSE,FALSE,Gibygu,TRUE,,developer,email,ready,,TRUE,,jg4BJd5T7Ma6BJtbsz8aSskNy9q1,"September 2, 2025, 1:55 AM",e736fe24-b3d2-4cc8-b722-f0c5ed06b9b7,"September 2, 2025, 2:23 AM","September 2, 2025, 2:21 AM","1,756,804,876,512,800,000","1,756,344,068,653"
#7D39AD,"100,012","September 1, 2025, 10:20 PM",cucabo.focyce@gmail.com,Cucabo,101628,,FALSE,FALSE,FALSE,Focyce,TRUE,,developer,email,ready,,TRUE,,JJ8hVegL9fbl7aEGAAWHOpRhGPn1,"September 1, 2025, 10:20 PM",f9b5ded7-46f5-4f05-b13f-357866cc9d5d,"September 1, 2025, 11:32 PM","September 1, 2025, 11:21 PM","1,756,794,070,252,150,000","1,756,344,068,653"
#22E9F0,"100,002","September 1, 2025, 9:21 PM",caxu.jaty@gmail.com,Caxu,101618,,FALSE,FALSE,FALSE,Jaty,TRUE,,developer,email,ready,,TRUE,,ehZumr6vdoYQmIE6UrkCwVoVn9q1,"September 1, 2025, 9:21 PM",096cb45b-86b3-4575-8a61-3e8019f74aec,"September 1, 2025, 10:27 PM","September 1, 2025, 10:21 PM","1,756,790,470,880,580,000","1,756,344,068,653"
#BEB789,"99,992","September 1, 2025, 8:15 PM",xary.mekari@gmail.com,Xary,101608,,FALSE,FALSE,FALSE,Mekari,TRUE,,developer,google,ready,,TRUE,,wPxbVSY1iIWvPbq5cYAeBF9iCxB2,"September 1, 2025, 8:15 PM",131b828e-4681-4c25-a58f-0968c84d07c9,"September 1, 2025, 9:21 PM","September 1, 2025, 9:21 PM","1,756,786,870,348,000,000","1,756,344,068,653"
#11C5CC,"99,975","September 1, 2025, 5:24 PM",vojege.buca@bluthgroup.net,Vojege,101591,,FALSE,FALSE,FALSE,Buca,TRUE,,developer,google,ready,,TRUE,,cekXSQZh8UXyCz6mhQjmc6N9khN2,"September 1, 2025, 5:24 PM",030b5be0-7134-43af-bb3b-a0127666a242,"September 1, 2025, 6:28 PM","September 1, 2025, 6:21 PM","1,756,776,071,761,460,000","1,756,344,068,653"
#AEC7FD,"99,953","September 1, 2025, 1:45 PM",cymu.fugi@globexcorp.tech,Cymu,101569,,FALSE,FALSE,FALSE,Fugi,TRUE,,developer,email,ready,,TRUE,,S9FCV097ReSJwHOiIN9f8hyyLS72,"September 1, 2025, 1:45 PM",0307f62a-fb15-4ddd-8f9f-19ed4672ec44,"September 1, 2025, 2:32 PM","September 1, 2025, 2:21 PM","1,756,761,671,312,190,000","1,756,344,068,653"
#279BDB,"99,908","September 1, 2025, 9:04 AM",natyga.rusy@gmail.com,Natyga,101524,,FALSE,FALSE,FALSE,Rusy,TRUE,,developer,google,ready,,TRUE,,C8F4eFd6AvWuE9kVU0y7lwlbmTw1,"September 1, 2025, 9:04 AM",2e6a78c7-5c07-48ba-9ebf-f7060f5d1e7a,"September 1, 2025, 9:32 AM","September 1, 2025, 9:21 AM","1,756,743,668,342,290,000","1,756,344,068,653"
#985F8F,"99,909","September 1, 2025, 9:04 AM",pilale.rusy@gmail.com,Pilale,101525,,FALSE,FALSE,FALSE,Rusy,TRUE,,developer,google,ready,,TRUE,,Vfpma2m7zdP4DjapemvmnytqOE52,"September 1, 2025, 9:04 AM",9d728e39-85a3-4423-99b3-f0773973b0e1,"September 1, 2025, 9:32 AM","September 1, 2025, 9:21 AM","1,756,743,668,342,310,000","1,756,344,068,653"
#5A644F,"99,893","September 1, 2025, 6:46 AM",zumyfo.faku@gmail.com,Zumyfo,101509,,FALSE,FALSE,FALSE,Faku,TRUE,,developer,google,ready,,TRUE,,Qq2MVqp7PjVwTy5M2OSwmNGSiVW2,"September 1, 2025, 6:46 AM",751e73d8-3780-4394-bdc8-4cd499b877c3,"September 1, 2025, 7:31 AM","September 1, 2025, 7:21 AM","1,756,736,470,531,190,000","1,756,344,068,653"
#4D1158,"99,887","September 1, 2025, 6:03 AM",pohoru.lufove@gmail.com,Pohoru,101503,,FALSE,FALSE,FALSE,Lufove,TRUE,,developer,google,ready,,TRUE,,pAs2pwJf88QrT3OcKdjUhKVv3Qt1,"September 1, 2025, 6:03 AM",88367b9f-63d8-4a92-b442-9787d1a851e6,"September 1, 2025, 6:31 AM","September 1, 2025, 6:21 AM","1,756,732,870,754,770,000","1,756,344,068,653"
#5396DB,"99,874","September 1, 2025, 4:17 AM",kuxeli.xomuqy@gmail.com,Kuxeli,101490,,FALSE,FALSE,FALSE,Xomuqy,TRUE,,developer,google,ready,,TRUE,,wDPVHnOQROQxjRXGaDgULMLJeGj1,"September 1, 2025, 4:17 AM",f3fb65ea-f014-45f7-b04f-e98f9cb0c93e,"September 1, 2025, 5:31 AM","September 1, 2025, 5:21 AM","1,756,729,270,324,300,000","1,756,344,068,653"
#FF9B9A,"99,859","September 1, 2025, 2:58 AM",tema.rusy@gmail.com,Tema,101475,,FALSE,FALSE,FALSE,Rusy,TRUE,,developer,google,ready,,TRUE,,bcV03ZA0D4ZVwsRpue9TcaiOLBa2,"September 1, 2025, 2:58 AM",f52df19f-fb68-437a-8b57-e51ca74dc867,"September 1, 2025, 3:30 AM","September 1, 2025, 3:21 AM","1,756,722,072,510,500,000","1,756,344,068,653"
#C8F593,"99,841","September 1, 2025, 1:30 AM",cymu.xykiky@hoolisolutions.systems,Cymu,101457,,FALSE,FALSE,FALSE,Xykiky,TRUE,,developer,email,ready,,TRUE,,fsiuY0dZPFMOGtDV4cs2kBF6QyH3,"September 1, 2025, 1:30 AM",e894bbcf-c890-4f0f-86e8-57665fe8588c,"September 1, 2025, 2:30 AM","September 1, 2025, 2:21 AM","1,756,718,472,261,470,000","1,756,344,068,653"
#412305,"99,819","August 31, 2025, 10:01 PM",lygu.saga@gmail.com,Lygu,101435,,FALSE,FALSE,FALSE,Saga,TRUE,,developer,google,ready,,TRUE,,CRsmIOP0LSgl4fAMRcC1Daa9qlw1,"August 31, 2025, 10:01 PM",ee02ccf9-622a-4968-9146-75effabb0504,"August 31, 2025, 11:24 PM","August 31, 2025, 11:21 PM","1,756,707,670,962,740,000","1,756,344,068,653"
#1D95CD,"99,817","August 31, 2025, 9:26 PM",gicoqy.rusy@gmail.com,Gicoqy,101433,,FALSE,FALSE,FALSE,Rusy,TRUE,,developer,google,ready,,TRUE,,Q0Qd3MTmD4a7CA5KRapqq3O5PlD2,"August 31, 2025, 9:26 PM",ac135e2f-bb29-4e5c-8c66-1e60e9b1d738,"August 31, 2025, 10:32 PM","August 31, 2025, 10:21 PM","1,756,704,070,619,600,000","1,756,344,068,653"
#B66835,"99,799","August 31, 2025, 6:54 PM",rafega.zoxubo@globexworks.net,Rafega,101415,,FALSE,FALSE,FALSE,Zoxubo,TRUE,,developer,email,ready,,TRUE,,szB3OAdNJwNPU4Zqq3f5H2cdnxl2,"August 31, 2025, 6:54 PM",3a85b610-a827-423e-819a-59057f30e143,"August 31, 2025, 7:32 PM","August 31, 2025, 7:21 PM","1,756,693,269,744,160,000","1,756,344,068,653"
